Wavelength,PLANCK_550
5.9308E+05,4.2898E-08
2.9654E+05,4.2904E-08
1.9769E+05,4.2912E-08
1.4827E+05,4.2925E-08
1.1862E+05,4.2941E-08
9.8847E+04,4.2961E-08
8.4726E+04,4.2984E-08
7.4136E+04,4.3011E-08
6.5898E+04,4.3041E-08
5.9308E+04,4.3075E-08
5.3917E+04,4.3113E-08
4.9424E+04,4.3154E-08
4.5622E+04,4.3199E-08
4.2363E+04,4.3247E-08
3.9539E+04,4.3299E-08
3.7068E+04,4.3355E-08
3.4887E+04,4.3415E-08
3.2949E+04,4.3478E-08
3.1215E+04,4.3545E-08
2.9654E+04,4.3615E-08
2.8242E+04,4.3690E-08
2.6958E+04,4.3768E-08
2.5786E+04,4.3850E-08
2.4712E+04,4.3936E-08
2.3723E+04,4.4025E-08
2.2811E+04,4.4119E-08
2.1966E+04,4.4216E-08
2.1182E+04,4.4317E-08
2.0451E+04,4.4423E-08
1.9769E+04,4.4532E-08
1.9132E+04,4.4645E-08
1.8534E+04,4.4762E-08
1.7972E+04,4.4884E-08
1.7444E+04,4.5009E-08
1.6945E+04,4.5139E-08
1.6475E+04,4.5272E-08
1.6029E+04,4.5410E-08
1.5607E+04,4.5552E-08
1.5207E+04,4.5699E-08
1.4827E+04,4.5850E-08
1.4465E+04,4.6005E-08
1.4121E+04,4.6164E-08
1.3793E+04,4.6328E-08
1.3479E+04,4.6497E-08
1.3180E+04,4.6670E-08
1.2893E+04,4.6847E-08
1.2619E+04,4.7030E-08
1.2356E+04,4.7217E-08
1.2104E+04,4.7408E-08
1.1862E+04,4.7605E-08
1.1629E+04,4.7806E-08
1.1405E+04,4.8012E-08
1.1190E+04,4.8224E-08
1.0983E+04,4.8440E-08
1.0783E+04,4.8661E-08
1.0591E+04,4.8888E-08
1.0405E+04,4.9120E-08
1.0226E+04,4.9357E-08
1.0052E+04,4.9599E-08
9.8847E+03,4.9847E-08
9.7227E+03,5.0100E-08
9.5659E+03,5.0360E-08
9.4140E+03,5.0624E-08
9.2670E+03,5.0895E-08
9.1244E+03,5.1171E-08
8.9861E+03,5.1453E-08
8.8520E+03,5.1741E-08
8.7218E+03,5.2035E-08
8.5954E+03,5.2336E-08
8.4726E+03,5.2642E-08
8.3533E+03,5.2955E-08
8.2373E+03,5.3275E-08
8.1244E+03,5.3601E-08
8.0147E+03,5.3933E-08
7.9078E+03,5.4273E-08
7.8037E+03,5.4619E-08
7.7024E+03,5.4973E-08
7.6037E+03,5.5333E-08
7.5074E+03,5.5700E-08
7.4136E+03,5.6075E-08
7.3220E+03,5.6458E-08
7.2327E+03,5.6848E-08
7.1456E+03,5.7245E-08
7.0605E+03,5.7651E-08
6.9775E+03,5.8064E-08
6.8963E+03,5.8485E-08
6.8171E+03,5.8915E-08
6.7396E+03,5.9353E-08
6.6639E+03,5.9800E-08
6.5898E+03,6.0255E-08
6.5174E+03,6.0719E-08
6.4466E+03,6.1192E-08
6.3773E+03,6.1674E-08
6.3094E+03,6.2166E-08
6.2430E+03,6.2667E-08
6.1780E+03,6.3178E-08
6.1143E+03,6.3698E-08
6.0519E+03,6.4229E-08
5.9908E+03,6.4769E-08
5.9308E+03,6.5320E-08
5.8721E+03,6.5882E-08
5.8146E+03,6.6455E-08
5.7581E+03,6.7038E-08
5.7027E+03,6.7633E-08
5.6484E+03,6.8239E-08
5.5951E+03,6.8857E-08
5.5428E+03,6.9486E-08
5.4915E+03,7.0128E-08
5.4411E+03,7.0782E-08
5.3917E+03,7.1449E-08
5.3431E+03,7.2128E-08
5.2954E+03,7.2821E-08
5.2485E+03,7.3527E-08
5.2025E+03,7.4247E-08
5.1573E+03,7.4980E-08
5.1128E+03,7.5728E-08
5.0691E+03,7.6490E-08
5.0261E+03,7.7267E-08
4.9839E+03,7.8060E-08
4.9424E+03,7.8867E-08
4.9015E+03,7.9690E-08
4.8614E+03,8.0530E-08
4.8218E+03,8.1386E-08
4.7829E+03,8.2258E-08
4.7447E+03,8.3148E-08
4.7070E+03,8.4055E-08
4.6700E+03,8.4980E-08
4.6335E+03,8.5924E-08
4.5976E+03,8.6886E-08
4.5622E+03,8.7867E-08
4.5274E+03,8.8867E-08
4.4931E+03,8.9888E-08
4.4593E+03,9.0928E-08
4.4260E+03,9.1990E-08
4.3932E+03,9.3073E-08
4.3609E+03,9.4178E-08
4.3291E+03,9.5304E-08
4.2977E+03,9.6454E-08
4.2668E+03,9.7627E-08
4.2363E+03,9.8824E-08
4.2063E+03,1.0004E-07
4.1767E+03,1.0129E-07
4.1474E+03,1.0256E-07
4.1186E+03,1.0386E-07
4.0902E+03,1.0518E-07
4.0622E+03,1.0653E-07
4.0346E+03,1.0791E-07
4.0073E+03,1.0932E-07
3.9804E+03,1.1076E-07
3.9539E+03,1.1223E-07
3.9277E+03,1.1372E-07
3.9019E+03,1.1525E-07
3.8764E+03,1.1682E-07
