Wavelength,PLANCK_3000
5.9297E+05,1.6359E-10
2.9649E+05,1.6379E-10
1.9766E+05,1.6411E-10
1.4824E+05,1.6457E-10
1.1859E+05,1.6517E-10
9.8829E+04,1.6589E-10
8.4710E+04,1.6676E-10
7.4122E+04,1.6776E-10
6.5886E+04,1.6890E-10
5.9297E+04,1.7019E-10
5.3907E+04,1.7162E-10
4.9414E+04,1.7321E-10
4.5613E+04,1.7495E-10
4.2355E+04,1.7685E-10
3.9532E+04,1.7892E-10
3.7061E+04,1.8115E-10
3.4881E+04,1.8357E-10
3.2943E+04,1.8616E-10
3.1209E+04,1.8895E-10
2.9649E+04,1.9193E-10
2.8237E+04,1.9512E-10
2.6953E+04,1.9853E-10
2.5781E+04,2.0216E-10
2.4707E+04,2.0602E-10
2.3719E+04,2.1013E-10
2.2807E+04,2.1451E-10
2.1962E+04,2.1915E-10
2.1178E+04,2.2408E-10
2.0447E+04,2.2931E-10
1.9766E+04,2.3487E-10
1.9128E+04,2.4075E-10
1.8530E+04,2.4700E-10
1.7969E+04,2.5362E-10
1.7440E+04,2.6063E-10
1.6942E+04,2.6807E-10
1.6471E+04,2.7596E-10
1.6026E+04,2.8432E-10
1.5605E+04,2.9319E-10
1.5204E+04,3.0260E-10
1.4824E+04,3.1258E-10
1.4463E+04,3.2317E-10
1.4118E+04,3.3442E-10
1.3790E+04,3.4636E-10
1.3477E+04,3.5904E-10
1.3177E+04,3.7252E-10
1.2891E+04,3.8686E-10
1.2616E+04,4.0210E-10
1.2354E+04,4.1833E-10
1.2101E+04,4.3560E-10
1.1859E+04,4.5401E-10
1.1627E+04,4.7363E-10
1.1403E+04,4.9455E-10
1.1188E+04,5.1688E-10
1.0981E+04,5.4072E-10
1.0781E+04,5.6620E-10
1.0589E+04,5.9345E-10
1.0403E+04,6.2260E-10
1.0224E+04,6.5381E-10
1.0050E+04,6.8725E-10
9.8829E+03,7.2311E-10
9.7209E+03,7.6159E-10
9.5641E+03,8.0291E-10
9.4123E+03,8.4732E-10
9.2652E+03,8.9509E-10
9.1227E+03,9.4651E-10
8.9844E+03,1.0019E-09
8.8503E+03,1.0617E-09
8.7202E+03,1.1261E-09
8.5938E+03,1.1958E-09
8.4710E+03,1.2711E-09
8.3517E+03,1.3526E-09
8.2357E+03,1.4409E-09
8.1229E+03,1.5366E-09
8.0131E+03,1.6405E-09
7.9063E+03,1.7533E-09
7.8023E+03,1.8760E-09
7.7009E+03,2.0096E-09
7.6022E+03,2.1552E-09
7.5060E+03,2.3140E-09
7.4122E+03,2.4874E-09
7.3207E+03,2.6770E-09
7.2314E+03,2.8845E-09
7.1443E+03,3.1119E-09
7.0592E+03,3.3613E-09
6.9762E+03,3.6352E-09
6.8950E+03,3.9364E-09
6.8158E+03,4.2680E-09
6.7383E+03,4.6335E-09
6.6626E+03,5.0368E-09
6.5886E+03,5.4826E-09
6.5162E+03,5.9758E-09
6.4454E+03,6.5223E-09
6.3761E+03,7.1286E-09
6.3082E+03,7.8022E-09
6.2418E+03,8.5516E-09
