Wavelength,PLANCK_350
5.9306E+05,3.8163E-07
2.9653E+05,3.8166E-07
1.9769E+05,3.8170E-07
1.4827E+05,3.8176E-07
1.1861E+05,3.8183E-07
9.8844E+04,3.8193E-07
8.4723E+04,3.8203E-07
7.4133E+04,3.8216E-07
6.5896E+04,3.8230E-07
5.9306E+04,3.8246E-07
5.3915E+04,3.8264E-07
4.9422E+04,3.8283E-07
4.5620E+04,3.8304E-07
4.2362E+04,3.8326E-07
3.9537E+04,3.8351E-07
3.7066E+04,3.8377E-07
3.4886E+04,3.8404E-07
3.2948E+04,3.8434E-07
3.1214E+04,3.8465E-07
2.9653E+04,3.8498E-07
2.8241E+04,3.8532E-07
2.6957E+04,3.8568E-07
2.5785E+04,3.8606E-07
2.4711E+04,3.8646E-07
2.3722E+04,3.8687E-07
2.2810E+04,3.8730E-07
2.1965E+04,3.8775E-07
2.1181E+04,3.8822E-07
2.0450E+04,3.8870E-07
1.9769E+04,3.8921E-07
1.9131E+04,3.8973E-07
1.8533E+04,3.9026E-07
1.7972E+04,3.9082E-07
1.7443E+04,3.9139E-07
1.6945E+04,3.9198E-07
1.6474E+04,3.9259E-07
1.6029E+04,3.9322E-07
1.5607E+04,3.9387E-07
1.5207E+04,3.9453E-07
1.4827E+04,3.9521E-07
1.4465E+04,3.9591E-07
1.4121E+04,3.9663E-07
1.3792E+04,3.9737E-07
1.3479E+04,3.9813E-07
1.3179E+04,3.9891E-07
1.2893E+04,3.9970E-07
1.2618E+04,4.0052E-07
1.2355E+04,4.0135E-07
1.2103E+04,4.0221E-07
1.1861E+04,4.0308E-07
1.1629E+04,4.0397E-07
1.1405E+04,4.0489E-07
1.1190E+04,4.0582E-07
1.0983E+04,4.0678E-07
1.0783E+04,4.0775E-07
1.0590E+04,4.0874E-07
1.0405E+04,4.0976E-07
1.0225E+04,4.1079E-07
1.0052E+04,4.1185E-07
9.8844E+03,4.1293E-07
9.7223E+03,4.1403E-07
9.5655E+03,4.1515E-07
9.4137E+03,4.1629E-07
9.2666E+03,4.1745E-07
9.1240E+03,4.1863E-07
8.9858E+03,4.1984E-07
8.8517E+03,4.2107E-07
8.7215E+03,4.2232E-07
8.5951E+03,4.2360E-07
8.4723E+03,4.2489E-07
8.3530E+03,4.2621E-07
8.2370E+03,4.2756E-07
8.1241E+03,4.2892E-07
8.0143E+03,4.3031E-07
7.9075E+03,4.3173E-07
7.8034E+03,4.3317E-07
7.7021E+03,4.3463E-07
7.6034E+03,4.3612E-07
7.5071E+03,4.3763E-07
7.4133E+03,4.3917E-07
7.3217E+03,4.4073E-07
7.2325E+03,4.4231E-07
7.1453E+03,4.4393E-07
7.0603E+03,4.4557E-07
6.9772E+03,4.4723E-07
6.8961E+03,4.4892E-07
6.8168E+03,4.5064E-07
6.7393E+03,4.5239E-07
6.6636E+03,4.5416E-07
6.5896E+03,4.5596E-07
6.5172E+03,4.5779E-07
6.4463E+03,4.5964E-07
6.3770E+03,4.6153E-07
6.3092E+03,4.6344E-07
6.2428E+03,4.6539E-07
6.1777E+03,4.6736E-07
6.1140E+03,4.6936E-07
6.0516E+03,4.7139E-07
5.9905E+03,4.7345E-07
5.9306E+03,4.7555E-07
5.8719E+03,4.7767E-07
5.8143E+03,4.7983E-07
5.7579E+03,4.8201E-07
5.7025E+03,4.8423E-07
5.6482E+03,4.8648E-07
5.5949E+03,4.8877E-07
5.5426E+03,4.9109E-07
5.4913E+03,4.9344E-07
5.4409E+03,4.9583E-07
5.3915E+03,4.9825E-07
5.3429E+03,5.0070E-07
5.2952E+03,5.0319E-07
5.2483E+03,5.0572E-07
5.2023E+03,5.0828E-07
5.1571E+03,5.1088E-07
5.1126E+03,5.1352E-07
5.0689E+03,5.1619E-07
5.0259E+03,5.1890E-07
4.9837E+03,5.2165E-07
4.9422E+03,5.2444E-07
4.9013E+03,5.2727E-07
4.8612E+03,5.3014E-07
4.8216E+03,5.3305E-07
4.7828E+03,5.3600E-07
4.7445E+03,5.3899E-07
4.7068E+03,5.4203E-07
4.6698E+03,5.4510E-07
4.6333E+03,5.4822E-07
4.5974E+03,5.5139E-07
4.5620E+03,5.5460E-07
4.5272E+03,5.5785E-07
4.4929E+03,5.6115E-07
4.4591E+03,5.6449E-07
4.4258E+03,5.6788E-07
4.3930E+03,5.7132E-07
4.3607E+03,5.7481E-07
4.3289E+03,5.7835E-07
4.2975E+03,5.8193E-07
4.2666E+03,5.8557E-07
4.2362E+03,5.8925E-07
4.2061E+03,5.9299E-07
4.1765E+03,5.9678E-07
4.1473E+03,6.0063E-07
4.1185E+03,6.0452E-07
4.0901E+03,6.0848E-07
4.0621E+03,6.1248E-07
4.0344E+03,6.1655E-07
4.0072E+03,6.2066E-07
3.9803E+03,6.2484E-07
3.9537E+03,6.2908E-07
3.9276E+03,6.3337E-07
3.9017E+03,6.3773E-07
3.8762E+03,6.4215E-07
3.8510E+03,6.4662E-07
3.8262E+03,6.5117E-07
3.8017E+03,6.5577E-07
3.7775E+03,6.6044E-07
3.7536E+03,6.6518E-07
3.7299E+03,6.6998E-07
3.7066E+03,6.7485E-07
3.6836E+03,6.7979E-07
3.6609E+03,6.8480E-07
3.6384E+03,6.8988E-07
3.6162E+03,6.9504E-07
3.5943E+03,7.0026E-07
3.5727E+03,7.0556E-07
3.5513E+03,7.1094E-07
3.5301E+03,7.1639E-07
3.5092E+03,7.2192E-07
3.4886E+03,7.2753E-07
3.4682E+03,7.3321E-07
3.4480E+03,7.3898E-07
3.4281E+03,7.4484E-07
3.4084E+03,7.5077E-07
3.3889E+03,7.5680E-07
3.3697E+03,7.6290E-07
3.3506E+03,7.6910E-07
3.3318E+03,7.7539E-07
3.3132E+03,7.8176E-07
3.2948E+03,7.8823E-07
3.2766E+03,7.9480E-07
3.2586E+03,8.0146E-07
3.2408E+03,8.0821E-07
3.2232E+03,8.1507E-07
3.2057E+03,8.2202E-07
3.1885E+03,8.2908E-07
3.1715E+03,8.3624E-07
3.1546E+03,8.4350E-07
3.1379E+03,8.5088E-07
3.1214E+03,8.5836E-07
3.1050E+03,8.6595E-07
3.0889E+03,8.7365E-07
3.0729E+03,8.8147E-07
3.0570E+03,8.8941E-07
3.0413E+03,8.9746E-07
3.0258E+03,9.0563E-07
3.0105E+03,9.1393E-07
2.9953E+03,9.2235E-07
2.9802E+03,9.3089E-07
2.9653E+03,9.3957E-07
2.9506E+03,9.4837E-07
2.9359E+03,9.5731E-07
2.9215E+03,9.6639E-07
2.9072E+03,9.7560E-07
2.8930E+03,9.8495E-07
2.8789E+03,9.9444E-07
2.8650E+03,1.0041E-06
2.8513E+03,1.0139E-06
2.8376E+03,1.0238E-06
2.8241E+03,1.0339E-06
2.8107E+03,1.0441E-06
2.7975E+03,1.0545E-06
2.7843E+03,1.0651E-06
2.7713E+03,1.0758E-06
2.7584E+03,1.0867E-06
2.7457E+03,1.0978E-06
2.7330E+03,1.1091E-06
2.7205E+03,1.1205E-06
2.7080E+03,1.1321E-06
2.6957E+03,1.1438E-06
2.6835E+03,1.1558E-06
2.6714E+03,1.1680E-06
2.6595E+03,1.1803E-06
2.6476E+03,1.1929E-06
2.6358E+03,1.2056E-06
2.6242E+03,1.2186E-06
2.6126E+03,1.2317E-06
2.6011E+03,1.2451E-06
2.5898E+03,1.2587E-06
2.5785E+03,1.2725E-06
2.5674E+03,1.2865E-06
2.5563E+03,1.3007E-06
2.5453E+03,1.3152E-06
2.5345E+03,1.3300E-06
2.5237E+03,1.3449E-06
2.5130E+03,1.3601E-06
2.5024E+03,1.3756E-06
2.4919E+03,1.3913E-06
2.4814E+03,1.4073E-06
2.4711E+03,1.4235E-06
2.4608E+03,1.4401E-06
2.4507E+03,1.4569E-06
2.4406E+03,1.4739E-06
2.4306E+03,1.4913E-06
2.4207E+03,1.5089E-06
2.4108E+03,1.5269E-06
2.4011E+03,1.5451E-06
2.3914E+03,1.5637E-06
2.3818E+03,1.5826E-06
2.3722E+03,1.6018E-06
2.3628E+03,1.6213E-06
2.3534E+03,1.6412E-06
2.3441E+03,1.6614E-06
2.3349E+03,1.6820E-06
2.3257E+03,1.7029E-06
2.3166E+03,1.7242E-06
2.3076E+03,1.7458E-06
2.2987E+03,1.7679E-06
2.2898E+03,1.7903E-06
2.2810E+03,1.8131E-06
2.2723E+03,1.8363E-06
2.2636E+03,1.8599E-06
2.2550E+03,1.8840E-06
2.2464E+03,1.9084E-06
2.2380E+03,1.9334E-06
2.2296E+03,1.9587E-06
2.2212E+03,1.9845E-06
2.2129E+03,2.0108E-06
2.2047E+03,2.0376E-06
2.1965E+03,2.0648E-06
2.1884E+03,2.0925E-06
2.1804E+03,2.1208E-06
2.1724E+03,2.1495E-06
2.1645E+03,2.1788E-06
2.1566E+03,2.2086E-06
2.1488E+03,2.2390E-06
2.1410E+03,2.2700E-06
2.1333E+03,2.3015E-06
2.1257E+03,2.3336E-06
2.1181E+03,2.3663E-06
2.1105E+03,2.3996E-06
2.1031E+03,2.4335E-06
2.0956E+03,2.4681E-06
2.0882E+03,2.5034E-06
2.0809E+03,2.5393E-06
2.0736E+03,2.5759E-06
2.0664E+03,2.6132E-06
2.0592E+03,2.6512E-06
2.0521E+03,2.6899E-06
2.0450E+03,2.7294E-06
2.0380E+03,2.7697E-06
2.0310E+03,2.8107E-06
2.0241E+03,2.8526E-06
2.0172E+03,2.8952E-06
2.0104E+03,2.9387E-06
2.0036E+03,2.9831E-06
1.9968E+03,3.0283E-06
1.9901E+03,3.0744E-06
1.9835E+03,3.1215E-06
1.9769E+03,3.1695E-06
1.9703E+03,3.2184E-06
1.9638E+03,3.2683E-06
1.9573E+03,3.3193E-06
1.9509E+03,3.3712E-06
1.9445E+03,3.4243E-06
1.9381E+03,3.4784E-06
1.9318E+03,3.5336E-06
1.9255E+03,3.5899E-06
1.9193E+03,3.6474E-06
1.9131E+03,3.7061E-06
1.9070E+03,3.7660E-06
1.9008E+03,3.8271E-06
1.8948E+03,3.8895E-06
1.8887E+03,3.9533E-06
1.8827E+03,4.0183E-06
1.8768E+03,4.0848E-06
1.8709E+03,4.1526E-06
1.8650E+03,4.2219E-06
1.8591E+03,4.2926E-06
1.8533E+03,4.3649E-06
1.8475E+03,4.4387E-06
1.8418E+03,4.5141E-06
1.8361E+03,4.5911E-06
