Wavelength,PLANCK_1400
5.9304E+05,8.5195E-14
2.9652E+05,8.5224E-14
1.9768E+05,8.5273E-14
1.4826E+05,8.5341E-14
1.1861E+05,8.5428E-14
9.8840E+04,8.5535E-14
8.4720E+04,8.5661E-14
7.4130E+04,8.5808E-14
6.5894E+04,8.5974E-14
5.9304E+04,8.6160E-14
5.3913E+04,8.6366E-14
4.9420E+04,8.6592E-14
4.5619E+04,8.6839E-14
4.2360E+04,8.7106E-14
3.9536E+04,8.7394E-14
3.7065E+04,8.7703E-14
3.4885E+04,8.8033E-14
3.2947E+04,8.8385E-14
3.1213E+04,8.8758E-14
2.9652E+04,8.9153E-14
2.8240E+04,8.9570E-14
2.6956E+04,9.0010E-14
2.5784E+04,9.0473E-14
2.4710E+04,9.0959E-14
2.3722E+04,9.1468E-14
2.2809E+04,9.2002E-14
2.1965E+04,9.2559E-14
2.1180E+04,9.3142E-14
2.0450E+04,9.3750E-14
1.9768E+04,9.4383E-14
1.9130E+04,9.5042E-14
1.8533E+04,9.5728E-14
1.7971E+04,9.6441E-14
1.7442E+04,9.7182E-14
1.6944E+04,9.7951E-14
1.6473E+04,9.8749E-14
1.6028E+04,9.9577E-14
1.5606E+04,1.0043E-13
1.5206E+04,1.0132E-13
1.4826E+04,1.0224E-13
1.4464E+04,1.0320E-13
1.4120E+04,1.0418E-13
1.3792E+04,1.0520E-13
1.3478E+04,1.0625E-13
1.3179E+04,1.0734E-13
1.2892E+04,1.0847E-13
1.2618E+04,1.0963E-13
1.2355E+04,1.1083E-13
1.2103E+04,1.1207E-13
1.1861E+04,1.1336E-13
1.1628E+04,1.1468E-13
1.1405E+04,1.1604E-13
1.1189E+04,1.1745E-13
1.0982E+04,1.1891E-13
1.0783E+04,1.2041E-13
1.0590E+04,1.2196E-13
1.0404E+04,1.2355E-13
1.0225E+04,1.2520E-13
1.0052E+04,1.2690E-13
9.8840E+03,1.2865E-13
9.7220E+03,1.3046E-13
9.5652E+03,1.3233E-13
9.4134E+03,1.3425E-13
9.2663E+03,1.3624E-13
9.1237E+03,1.3828E-13
8.9855E+03,1.4039E-13
8.8514E+03,1.4257E-13
8.7212E+03,1.4482E-13
8.5948E+03,1.4713E-13
8.4720E+03,1.4952E-13
8.3527E+03,1.5199E-13
8.2367E+03,1.5453E-13
8.1239E+03,1.5716E-13
8.0141E+03,1.5986E-13
7.9072E+03,1.6266E-13
7.8032E+03,1.6554E-13
7.7019E+03,1.6851E-13
7.6031E+03,1.7158E-13
7.5069E+03,1.7475E-13
7.4130E+03,1.7802E-13
7.3215E+03,1.8140E-13
7.2322E+03,1.8488E-13
7.1451E+03,1.8848E-13
7.0600E+03,1.9220E-13
6.9770E+03,1.9604E-13
6.8958E+03,2.0000E-13
6.8166E+03,2.0409E-13
6.7391E+03,2.0833E-13
6.6634E+03,2.1270E-13
6.5894E+03,2.1722E-13
6.5170E+03,2.2188E-13
6.4461E+03,2.2671E-13
6.3768E+03,2.3170E-13
6.3090E+03,2.3686E-13
6.2426E+03,2.4220E-13
6.1775E+03,2.4772E-13
6.1138E+03,2.5342E-13
6.0515E+03,2.5933E-13
5.9903E+03,2.6544E-13
5.9304E+03,2.7177E-13
5.8717E+03,2.7832E-13
5.8141E+03,2.8509E-13
