Wavelength,PLANKC_2100
2.9652E+03,4.6052E-06
2.9505E+03,5.4245E-06
2.9359E+03,6.4092E-06
2.9214E+03,7.5969E-06
2.9071E+03,9.0347E-06
2.8929E+03,1.0782E-05
2.8788E+03,1.2915E-05
2.8649E+03,1.5529E-05
2.8512E+03,1.8748E-05
2.8375E+03,2.2729E-05
2.8240E+03,2.7680E-05
2.8106E+03,3.3870E-05
2.7974E+03,4.1651E-05
2.7842E+03,5.1494E-05
2.7712E+03,6.4026E-05
2.7583E+03,8.0092E-05
2.7456E+03,1.0189E-04
2.7452E+03,1.5224E-04
2.7439E+03,3.1568E-04
2.7427E+03,4.5951E-04
2.7414E+03,5.6998E-04
2.7401E+03,6.3655E-04
2.7389E+03,6.5285E-04
2.7376E+03,6.1733E-04
2.7364E+03,5.3345E-04
2.7351E+03,4.0935E-04
2.7339E+03,2.5710E-04
2.7329E+03,1.2683E-04
2.7326E+03,9.1529E-05
2.7314E+03,
2.7301E+03,
2.7289E+03,
2.7277E+03,
2.7264E+03,
2.7252E+03,
2.7239E+03,
2.7227E+03,
2.7214E+03,1.0931E-05
2.7204E+03,1.6440E-04
2.7202E+03,1.8695E-04
2.7190E+03,3.6167E-04
2.7177E+03,5.1864E-04
2.7165E+03,6.4304E-04
2.7153E+03,7.2315E-04
2.7140E+03,7.5146E-04
2.7128E+03,7.2544E-04
2.7116E+03,6.4782E-04
2.7103E+03,5.2630E-04
2.7091E+03,3.7290E-04
2.7080E+03,2.0951E-04
2.7079E+03,2.0274E-04
2.7067E+03,3.2684E-05
2.7054E+03,
2.7042E+03,
2.7030E+03,
2.7018E+03,
2.7006E+03,
2.6993E+03,
2.6981E+03,
2.6969E+03,7.9871E-05
2.6957E+03,2.6592E-04
2.6956E+03,2.7448E-04
2.6945E+03,4.5379E-04
2.6933E+03,6.2607E-04
2.6921E+03,7.6681E-04
2.6908E+03,8.6305E-04
2.6896E+03,9.0606E-04
2.6884E+03,8.9224E-04
2.6872E+03,8.2348E-04
2.6860E+03,7.0700E-04
2.6848E+03,5.5468E-04
2.6836E+03,3.8197E-04
2.6835E+03,3.5812E-04
2.6824E+03,2.0634E-04
2.6812E+03,4.5717E-05
2.6800E+03,
2.6788E+03,
2.6776E+03,
2.6764E+03,
2.6752E+03,
2.6740E+03,5.7573E-05
2.6728E+03,2.3372E-04
2.6716E+03,4.3303E-04
2.6714E+03,4.7794E-04
2.6704E+03,6.3771E-04
2.6692E+03,8.2939E-04
2.6680E+03,9.9089E-04
2.6668E+03,1.1079E-03
2.6657E+03,1.1705E-03
2.6645E+03,1.1737E-03
2.6633E+03,1.1187E-03
2.6621E+03,1.0120E-03
2.6609E+03,8.6530E-04
2.6597E+03,6.9439E-04
2.6594E+03,6.3972E-04
2.6586E+03,5.1742E-04
2.6574E+03,3.5330E-04
2.6562E+03,2.1989E-04
2.6550E+03,1.3226E-04
2.6538E+03,1.0119E-04
2.6527E+03,1.3217E-04
2.6515E+03,2.2481E-04
2.6503E+03,3.7283E-04
2.6491E+03,5.6469E-04
2.6480E+03,7.8463E-04
2.6475E+03,8.7422E-04
2.6468E+03,1.0142E-03
2.6456E+03,1.2340E-03
2.6444E+03,1.4255E-03
2.6433E+03,1.5731E-03
2.6421E+03,1.6653E-03
2.6409E+03,1.6959E-03
2.6398E+03,1.6648E-03
2.6386E+03,1.5782E-03
2.6375E+03,1.4475E-03
2.6363E+03,1.2886E-03
2.6357E+03,1.2076E-03
2.6351E+03,1.1206E-03
2.6340E+03,9.6339E-04
2.6328E+03,8.3640E-04
2.6317E+03,7.5626E-04
2.6305E+03,7.3542E-04
2.6293E+03,7.8084E-04
2.6282E+03,8.9334E-04
2.6270E+03,1.0675E-03
2.6259E+03,1.2921E-03
2.6247E+03,1.5511E-03
2.6241E+03,1.7049E-03
2.6236E+03,1.8255E-03
2.6224E+03,2.0948E-03
2.6213E+03,2.3390E-03
2.6201E+03,2.5408E-03
2.6190E+03,2.6870E-03
2.6178E+03,2.7700E-03
2.6167E+03,2.7886E-03
2.6155E+03,2.7481E-03
2.6144E+03,2.6596E-03
2.6133E+03,2.5397E-03
2.6125E+03,2.4532E-03
2.6121E+03,2.4081E-03
2.6110E+03,2.2865E-03
2.6098E+03,2.1960E-03
2.6087E+03,2.1553E-03
2.6076E+03,2.1790E-03
2.6064E+03,2.2763E-03
2.6053E+03,2.4495E-03
2.6042E+03,2.6945E-03
2.6030E+03,3.0006E-03
2.6019E+03,3.3520E-03
2.6011E+03,3.6270E-03
2.6008E+03,3.7286E-03
2.5996E+03,4.1088E-03
2.5985E+03,4.4708E-03
2.5974E+03,4.7953E-03
2.5962E+03,5.0669E-03
2.5951E+03,5.2763E-03
2.5940E+03,5.4206E-03
2.5929E+03,5.5042E-03
2.5917E+03,5.5383E-03
2.5906E+03,5.5400E-03
2.5897E+03,5.5316E-03
2.5784E+03,8.7850E-03
2.5673E+03,1.4731E-02
2.5562E+03,2.6735E-02
2.5452E+03,5.9517E-02
2.5344E+03,1.2983E-01
2.5236E+03,2.7220E-01
2.5129E+03,3.7375E-01
2.5023E+03,3.7829E-01
2.4918E+03,5.2146E-01
2.4813E+03,5.8862E-01
2.4710E+03,4.4443E-01
2.4608E+03,4.5961E-01
2.4506E+03,5.5529E-01
2.4405E+03,5.7529E-01
2.4305E+03,5.6151E-01
2.4206E+03,6.5482E-01
2.4107E+03,8.6120E-01
2.4010E+03,7.6862E-01
2.3913E+03,5.9564E-01
2.3817E+03,6.2050E-01
2.3722E+03,7.1198E-01
2.3627E+03,7.9373E-01
2.3533E+03,7.5277E-01
2.3440E+03,7.3045E-01
2.3348E+03,8.5012E-01
2.3257E+03,1.0000E+00
2.3166E+03,9.9065E-01
2.3076E+03,9.4140E-01
2.2986E+03,8.1432E-01
2.2897E+03,8.0993E-01
2.2809E+03,8.5516E-01
2.2722E+03,8.2396E-01
2.2635E+03,8.2942E-01
2.2549E+03,8.0972E-01
2.2464E+03,7.5990E-01
2.2379E+03,7.9822E-01
2.2295E+03,8.5553E-01
2.2211E+03,7.8134E-01
2.2128E+03,6.9734E-01
2.2046E+03,7.1428E-01
2.1965E+03,6.5737E-01
2.1883E+03,6.6212E-01
2.1803E+03,7.1690E-01
2.1723E+03,7.2810E-01
2.1644E+03,7.0934E-01
2.1565E+03,7.4831E-01
2.1487E+03,6.9463E-01
2.1409E+03,6.2573E-01
2.1332E+03,6.5728E-01
2.1256E+03,8.3200E-01
2.1180E+03,9.5608E-01
2.1105E+03,8.7847E-01
2.1030E+03,7.4657E-01
2.0956E+03,7.6024E-01
2.0882E+03,7.6052E-01
2.0809E+03,7.5181E-01
2.0736E+03,7.5682E-01
2.0664E+03,7.3915E-01
2.0592E+03,6.9584E-01
2.0521E+03,6.4293E-01
2.0450E+03,6.5167E-01
2.0379E+03,6.8054E-01
2.0310E+03,6.3436E-01
2.0240E+03,5.4376E-01
2.0172E+03,4.5607E-01
2.0103E+03,4.7092E-01
2.0035E+03,5.5687E-01
1.9968E+03,6.2319E-01
1.9901E+03,6.2786E-01
1.9834E+03,6.0444E-01
1.9768E+03,6.3842E-01
1.9702E+03,7.0257E-01
1.9637E+03,7.1654E-01
1.9572E+03,7.1664E-01
1.9508E+03,7.4599E-01
1.9444E+03,7.6527E-01
1.9380E+03,7.0629E-01
1.9317E+03,6.3265E-01
1.9255E+03,6.0900E-01
1.9192E+03,5.8628E-01
1.9130E+03,6.0380E-01
1.9069E+03,6.8302E-01
1.9008E+03,6.9021E-01
1.8947E+03,6.2659E-01
1.8887E+03,6.1995E-01
1.8827E+03,6.5226E-01
1.8767E+03,6.4402E-01
1.8708E+03,5.8505E-01
1.8649E+03,5.6348E-01
1.8591E+03,5.4538E-01
1.8533E+03,5.1847E-01
1.8475E+03,5.0352E-01
1.8417E+03,5.1401E-01
1.8360E+03,4.7252E-01
1.8304E+03,4.2289E-01
1.8247E+03,4.1707E-01
1.8191E+03,4.4522E-01
1.8136E+03,4.5915E-01
1.8081E+03,4.2788E-01
1.8026E+03,3.4534E-01
1.7971E+03,3.1826E-01
1.7917E+03,3.4912E-01
1.7863E+03,3.7639E-01
1.7809E+03,3.1181E-01
1.7756E+03,2.4493E-01
1.7703E+03,1.8977E-01
1.7650E+03,1.2796E-01
1.7598E+03,1.0696E-01
1.7546E+03,1.0083E-01
1.7494E+03,8.7368E-02
1.7442E+03,6.1194E-02
1.7391E+03,3.9682E-02
1.7340E+03,3.2663E-02
1.7290E+03,2.6975E-02
1.7240E+03,2.4261E-02
1.7190E+03,2.2041E-02
1.7140E+03,1.7215E-02
1.7091E+03,1.1335E-02
1.7041E+03,7.8577E-03
1.6949E+03,5.2447E-03
1.6807E+03,4.0567E-03
1.6667E+03,3.1299E-03
1.6529E+03,2.5422E-03
1.6393E+03,2.1871E-03
1.6260E+03,1.9539E-03
1.6129E+03,1.7259E-03
1.6000E+03,1.6360E-03
1.5873E+03,1.6657E-03
1.5748E+03,1.6422E-03
1.5625E+03,1.4908E-03
1.5504E+03,1.2331E-03
1.5385E+03,9.1056E-04
1.5267E+03,7.6793E-04
1.5152E+03,7.1035E-04
1.5038E+03,6.4896E-04
1.4925E+03,6.0596E-04
1.4815E+03,6.6077E-04
1.4706E+03,6.3821E-04
1.4599E+03,4.9880E-04
1.4493E+03,3.7537E-04
1.4388E+03,3.4705E-04
1.4286E+03,3.4508E-04
1.4184E+03,3.2315E-04
1.4085E+03,3.0400E-04
1.3986E+03,2.8488E-04
1.3889E+03,2.7273E-04
1.3793E+03,3.0645E-04
1.3699E+03,3.4043E-04
1.3698E+03,3.2035E-04
1.3694E+03,3.7135E-04
1.3691E+03,4.1938E-04
1.3688E+03,4.5988E-04
1.3685E+03,4.8905E-04
1.3682E+03,5.0415E-04
1.3679E+03,5.0380E-04
1.3676E+03,4.8810E-04
1.3673E+03,4.5864E-04
1.3669E+03,4.1832E-04
1.3666E+03,3.7107E-04
1.3663E+03,3.2150E-04
1.3660E+03,2.7444E-04
1.3657E+03,2.3446E-04
1.3654E+03,2.0546E-04
1.3651E+03,1.9029E-04
1.3648E+03,1.9044E-04
1.3644E+03,2.0596E-04
1.3641E+03,2.3540E-04
