Wavelength,SPIRE_500
166.671,1.12827e-11
166.949,-6.8155e-11
167.228,-4.5338e-11
167.48,-7.31973e-11
167.761,8.29041e-11
168.043,2.35465e-10
168.326,4.54524e-11
168.581,4.97124e-11
168.866,-3.35843e-11
169.152,-2.86114e-12
169.438,-1.77152e-11
169.726,1.42561e-11
169.986,-1.77646e-11
170.275,-1.48585e-11
170.565,5.29767e-11
170.857,4.00293e-11
171.149,4.38792e-11
171.413,6.15434e-11
171.708,2.85376e-11
172.003,4.09758e-12
172.299,1.24121e-10
172.567,6.43471e-11
172.865,4.42516e-11
173.165,6.5897e-11
173.465,1.17863e-10
173.766,8.12788e-11
174.038,1.18493e-10
174.342,1.04936e-10
174.646,1.25521e-11
174.952,7.53956e-11
175.259,1.05303e-10
175.535,6.64595e-11
175.844,1.24128e-10
176.154,1.50401e-10
176.465,2.09399e-10
176.745,2.78247e-10
177.058,4.18627e-10
177.372,5.1692e-10
177.687,6.55079e-10
178.004,8.44351e-10
178.289,8.36607e-10
178.608,9.4515e-10
178.927,1.26229e-09
179.248,1.74169e-09
179.57,2.25522e-09
179.861,2.82943e-09
180.185,2.79753e-09
180.51,2.25233e-09
180.836,1.54368e-09
181.131,1.03363e-09
181.46,8.51523e-10
181.79,7.4761e-10
182.121,8.34888e-10
182.453,8.4829e-10
182.753,8.64395e-10
183.088,8.07819e-10
183.424,7.80523e-10
183.761,6.11159e-10
184.099,6.3704e-10
184.404,4.98301e-10
184.745,6.08638e-10
185.087,6.80896e-10
185.43,7.07677e-10
185.74,5.66488e-10
186.086,4.7158e-10
186.433,2.88593e-10
186.781,1.89007e-10
187.13,1.48865e-10
187.446,1.91473e-10
187.798,1.29179e-10
188.151,5.44494e-11
188.506,5.24528e-11
188.862,3.82335e-11
189.184,2.69809e-11
189.542,7.0957e-11
189.902,5.79943e-11
190.264,4.33415e-11
190.59,2.95737e-11
190.954,2.17072e-11
191.319,9.05295e-11
191.686,7.54815e-11
192.054,1.29556e-11
192.387,3.80544e-11
192.757,3.56471e-11
193.13,5.06495e-11
193.503,1.03703e-10
193.841,4.13208e-11
194.217,4.34009e-11
194.595,5.39985e-11
194.975,8.44735e-11
195.356,1.0226e-10
195.7,8.68959e-11
196.083,7.24613e-11
196.469,4.00298e-11
196.855,1.99958e-10
197.244,5.16539e-11
197.594,1.25264e-10
197.986,8.68273e-11
198.378,9.07555e-11
198.773,6.58843e-11
199.129,3.23213e-10
199.526,2.25716e-10
199.925,-4.4539e-11
200.326,1.41401e-10
200.728,2.13621e-10
201.091,2.39575e-10
201.496,-1.54733e-12
201.903,3.18704e-11
202.311,3.61897e-10
202.721,-2.014e-10
203.092,1.91195e-10
203.505,1.55608e-09
203.92,4.78913e-10
204.337,-2.8791e-10
204.713,-1.51637e-09
205.133,4.21316e-09
205.555,-2.33902e-09
205.978,7.27195e-10
206.404,-2.31546e-10
206.788,1.30518e-09
207.216,-1.427e-10
207.646,-2.06421e-10
208.078,2.67416e-10
208.512,1.62805e-10
208.904,-1.7859e-11
209.342,1.02064e-10
209.781,1.7934e-10
210.222,3.41578e-11
210.62,-3.68438e-11
211.065,2.19502e-11
211.511,6.62034e-11
211.96,2.79903e-11
212.41,-1.60546e-11
212.817,-6.05793e-11
213.27,-7.01962e-11
213.726,-3.91869e-11
214.184,-4.91739e-11
214.644,-3.22294e-11
215.059,-1.7352e-11
215.523,1.9415e-12
215.988,-1.15819e-11
216.456,-3.04768e-11
216.878,-3.65727e-11
217.35,-3.73145e-11
217.823,4.59758e-11
218.298,4.32135e-11
