Wavelength,PLANCK_850
2.9652E+03,1.9846E-17
2.9504E+03,2.0316E-17
2.9358E+03,2.0800E-17
2.9214E+03,2.1298E-17
2.9071E+03,2.1812E-17
2.8929E+03,2.2340E-17
2.8788E+03,2.2885E-17
2.8649E+03,2.3445E-17
2.8511E+03,2.4023E-17
2.8375E+03,2.4618E-17
2.8240E+03,2.5232E-17
2.8106E+03,2.5864E-17
2.7974E+03,2.6516E-17
2.7842E+03,2.7187E-17
2.7712E+03,2.7880E-17
2.7583E+03,2.8594E-17
2.7455E+03,2.9330E-17
2.7329E+03,3.0090E-17
2.7204E+03,3.0873E-17
2.7079E+03,3.1681E-17
2.6956E+03,3.2515E-17
2.6834E+03,3.3375E-17
2.6713E+03,3.4262E-17
2.6594E+03,3.5179E-17
2.6475E+03,3.6124E-17
2.6357E+03,3.7100E-17
2.6241E+03,3.8108E-17
2.6125E+03,3.9149E-17
2.6010E+03,4.0224E-17
2.5897E+03,4.1334E-17
2.5784E+03,4.2481E-17
2.5673E+03,4.3665E-17
2.5562E+03,4.4889E-17
2.5452E+03,4.6154E-17
2.5344E+03,4.7462E-17
2.5236E+03,4.8813E-17
2.5129E+03,5.0210E-17
2.5023E+03,5.1654E-17
2.4918E+03,5.3147E-17
2.4813E+03,5.4692E-17
2.4710E+03,5.6289E-17
2.4607E+03,5.7942E-17
2.4506E+03,5.9651E-17
2.4405E+03,6.1420E-17
2.4305E+03,6.3251E-17
2.4206E+03,6.5145E-17
2.4107E+03,6.7107E-17
2.4010E+03,6.9137E-17
2.3913E+03,7.1239E-17
2.3817E+03,7.3416E-17
2.3722E+03,7.5671E-17
2.3627E+03,7.8007E-17
2.3533E+03,8.0426E-17
2.3440E+03,8.2933E-17
2.3348E+03,8.5531E-17
2.3256E+03,8.8224E-17
2.3166E+03,9.1015E-17
2.3075E+03,9.3908E-17
2.2986E+03,9.6908E-17
2.2897E+03,1.0002E-16
2.2809E+03,1.0325E-16
2.2722E+03,1.0659E-16
2.2635E+03,1.1006E-16
2.2549E+03,1.1367E-16
2.2464E+03,1.1741E-16
2.2379E+03,1.2129E-16
2.2295E+03,1.2531E-16
2.2211E+03,1.2950E-16
2.2128E+03,1.3384E-16
2.2046E+03,1.3835E-16
2.1964E+03,1.4303E-16
2.1883E+03,1.4790E-16
2.1803E+03,1.5295E-16
2.1723E+03,1.5820E-16
2.1644E+03,1.6366E-16
2.1565E+03,1.6934E-16
2.1487E+03,1.7523E-16
2.1409E+03,1.8137E-16
2.1332E+03,1.8774E-16
2.1256E+03,1.9438E-16
2.1180E+03,2.0128E-16
2.1105E+03,2.0846E-16
