Wavelength,SPIRE_250
166.671,0.000167652
166.949,0.000130576
167.228,9.3289e-05
167.48,5.40014e-05
167.761,8.39994e-06
168.043,-3.74828e-05
168.326,-6.01829e-05
168.581,-6.99596e-05
168.866,-7.53956e-05
169.152,-1.98116e-05
169.438,3.61085e-05
169.726,9.34957e-05
169.986,0.000152443
170.275,0.000211706
170.565,0.000215766
170.857,0.000214717
171.149,0.000219491
171.413,0.00023544
171.708,0.000251545
172.003,0.000307726
172.299,0.00037661
172.567,0.000420365
172.865,0.000354841
173.165,0.000288877
173.465,0.00021586
173.766,0.000138153
174.038,6.27777e-05
174.342,5.97127e-05
174.646,5.66836e-05
174.952,6.98798e-05
175.259,0.00010218
175.535,0.000134633
175.844,0.000113373
176.154,8.5036e-05
176.465,5.97371e-05
176.745,4.12913e-05
177.058,2.278e-05
177.372,0.00011243
177.687,0.00024177
178.004,0.000356231
178.289,0.000389062
178.608,0.000422144
178.927,0.000328685
179.248,0.000144054
179.57,-4.00719e-05
179.861,-4.03365e-05
180.185,-4.06149e-05
180.51,6.92693e-05
180.836,0.00032452
181.131,0.000581107
181.46,0.000649021
181.79,0.000685936
182.121,0.000667635
182.453,0.000506846
182.753,0.000345183
183.088,0.000335128
183.424,0.000388747
183.761,0.000449337
184.099,0.00055441
184.404,0.000659874
184.745,0.000776159
185.087,0.000900372
185.43,0.00102597
185.74,0.00120811
186.086,0.00139294
186.433,0.00148298
186.781,0.00143104
187.13,0.00137875
187.446,0.00130426
187.798,0.00122419
188.151,0.0011911
188.506,0.00129764
188.862,0.00140424
189.184,0.00150045
189.542,0.00159148
189.902,0.00167119
190.264,0.00164077
190.59,0.00160962
190.954,0.00154653
191.319,0.0014532
191.686,0.00135926
192.054,0.00150167
192.387,0.00165792
192.757,0.00184717
193.13,0.00209183
193.503,0.00233744
193.841,0.00249232
194.217,0.00262555
194.595,0.00278055
194.975,0.00301259
195.356,0.0032455
195.7,0.00361134
196.083,0.00405216
196.469,0.00448396
196.855,0.00475476
197.244,0.00502803
197.594,0.00537374
197.986,0.00579811
198.378,0.00622464
198.773,0.00692084
199.129,0.00764836
199.526,0.00844448
199.925,0.00936908
200.326,0.0103068
200.728,0.0116365
201.091,0.0130882
201.496,0.0146854
201.903,0.0168291
202.311,0.0189944
202.721,0.0214686
203.092,0.0241342
203.505,0.026889
203.92,0.0311481
204.337,0.0354367
204.713,0.0403534
205.133,0.0460026
205.555,0.0516982
205.978,0.0596565
206.404,0.0679305
206.788,0.0776405
207.216,0.0903427
207.646,0.103134
208.078,0.116894
208.512,0.131119
208.904,0.145097
209.342,0.158038
209.781,0.171145
210.222,0.186057
210.62,0.2022
211.065,0.218599
211.511,0.239028
211.96,0.259604
212.41,0.277902
212.817,0.293105
213.27,0.308442
213.726,0.314083
214.184,0.318149
214.644,0.322552
215.059,0.327717
215.523,0.332959
215.988,0.338784
216.456,0.344884
216.878,0.350663
217.35,0.355192
217.823,0.359752
218.298,0.362756
218.776,0.364584
219.208,0.366207
219.689,0.373597
220.173,0.381039
220.659,0.385867
221.098,0.386524
221.588,0.387329
222.08,0.386094
222.574,0.384437
223.071,0.383342
223.519,0.384158
224.02,0.385041
224.523,0.395425
225.028,0.410402
225.536,0.424735
225.994,0.433196
226.506,0.441968
227.02,0.444099
227.537,0.44045
228.004,0.436601
228.525,0.436582
229.048,0.436818
229.574,0.442763
230.102,0.458306
230.58,0.473781
231.113,0.485007
231.648,0.495175
232.186,0.504099
232.726,0.508308
233.215,0.512345
233.76,0.515096
234.308,0.51706
234.858,0.519395
235.355,0.525599
235.911,0.532148
236.468,0.534107
237.029,0.53142
237.592,0.528799
238.101,0.530543
238.669,0.532975
239.24,0.538856
239.814,0.55149
240.391,0.56413
240.912,0.575413
241.494,0.58664
242.078,0.593979
242.666,0.585119
243.197,0.575943
243.79,0.568271
244.385,0.561398
244.984,0.555236
245.586,0.564153
246.13,0.572901
246.737,0.584792
247.347,0.599921
247.961,0.615174
248.577,0.615102
249.134,0.612975
249.757,0.609789
250.382,0.603765
251.01,0.597684
251.579,0.601401
252.213,0.608956
252.851,0.616469
253.492,0.62435
254.136,0.632294
254.719,0.637547
255.369,0.641562
256.023,0.64571
256.68,0.655746
257.34,0.665866
257.938,0.675878
258.605,0.686372
259.275,0.696953
259.949,0.693838
260.559,0.688238
261.24,0.681814
261.924,0.672513
262.612,0.663123
263.303,0.670572
263.929,0.684467
264.627,0.700326
265.329,0.7296
266.035,0.752909
266.673,0.761676
267.386,0.756621
268.103,0.741715
268.824,0.718408
269.549,0.701132
270.204,0.696843
270.936,0.692259
271.672,0.708244
272.412,0.724025
273.156,0.731575
273.829,0.742464
274.581,0.744995
275.337,0.73894
276.098,0.725838
276.785,0.716787
277.553,0.714797
278.326,0.716982
279.103,0.705917
279.884,0.698132
280.591,0.686773
281.38,0.667076
282.174,0.640917
282.973,0.624376
283.776,0.582985
