Table 1 
Measured WISE Properties of the SINGS/KINGFISH Sample


Galaxy	W1	W1f	W2	W2f	W3	W3f	W4	W4f	Radius	b/a	P.A.	
	(mag)		(mag)		(mag)		(mag)		(arcsec)		(deg.)	
NGC4321	6.247 +or- 0.011	0	6.122 +or- 0.019	0	2.578 +or- 0.015	10	0.722 +or- 0.02	10	322.35	0.889	55.2	
NGC4450	6.883 +or- 0.011	0	6.892 +or- 0.019	0	5.198 +or- 0.028	10	3.693 +or- 0.063	10	216.86	0.674	172.3	
NGC4536	7.183 +or- 0.011	0	7.027 +or- 0.019	0	3.332 +or- 0.016	10	0.866 +or- 0.016	10	262.54	0.388	122.9	
NGC4552	6.359 +or- 0.011	0	6.425 +or- 0.019	0	5.134 +or- 0.124	10	4.856 +or- 0.166	10	321.51	0.882	134.4	
NGC4559	7.389 +or- 0.011	0	7.235 +or- 0.019	0	4.037 +or- 0.018	10	2.063 +or- 0.034	10	297.59	0.379	149.5	
NGC4569	6.49 +or- 0.011	0	6.427 +or- 0.019	0	3.746 +or- 0.014	10	1.845 +or- 0.015	10	323.95	0.404	25.3	
NGC4579	6.325 +or- 0.011	0	6.29 +or- 0.019	0	4.133 +or- 0.014	10	2.584 +or- 0.021	10	242.89	0.794	97.4	
NGC4594	4.617 +or- 0.011	0	4.639 +or- 0.019	0	3.439 +or- 0.036	10	2.248 +or- 0.04	10	660.83	0.455	90.7	
NGC4625	9.592 +or- 0.012	0	9.517 +or- 0.021	0	6.152 +or- 0.024	10	4.404 +or- 0.061	10	64.37	0.9	177.5	
NGC4631	6.005 +or- 0.011	0	5.802 +or- 0.019	0	1.959 +or- 0.013	10	-0.1 +or- 0.014	10	496.31	0.272	83.2	
NGC4725	6.086 +or- 0.011	0	6.106 +or- 0.019	0	3.891 +or- 0.021	10	2.54 +or- 0.026	10	386.33	0.634	40.0	
NGC4736	4.767 +or- 0.011	0	4.742 +or- 0.019	0	1.992 +or- 0.015	10	0.27 +or- 0.02	10	579.39	0.89	105.6	
DDO154	12.334 +or- 0.022	0	12.533 +or- 0.077	0	11.19 +or- 0.591	0	cdots +or- cdots	0	60.6	0.575	39.5	
NGC4826	5.183 +or- 0.011	0	5.169 +or- 0.019	0	2.911 +or- 0.016	10	1.15 +or- 0.018	10	369.88	0.535	114.7	
DDO165	11.125 +or- 0.014	0	11.143 +or- 0.035	0	cdots +or- cdots	0	8.729 +or- 1.558	0	114.65	0.521	98.2	
NGC5033	6.719 +or- 0.011	0	6.618 +or- 0.019	0	3.086 +or- 0.014	10	1.365 +or- 0.028	10	283.42	0.574	172.5	
NGC5055	5.257 +or- 0.011	0	5.195 +or- 0.019	0	1.85 +or- 0.013	10	0.204 +or- 0.016	10	523.49	0.601	103.4	
NGC5194	5.087 +or- 0.011	0	4.968 +or- 0.019	0	1.176 +or- 0.012	10	-0.638 +or- 0.014	10	463.09	0.666	17.6	
NGC5195	6.451 +or- 0.011	0	6.432 +or- 0.019	0	4.223 +or- 0.012	10	2.009 +or- 0.013	10	174.12	0.776	106.9	
NGC5408	10.006 +or- 0.012	0	9.915 +or- 0.022	0	6.714 +or- 0.022	0	3.233 +or- 0.021	10	83.72	0.601	60.5	
